x,y,生态类型,生态属性,人口,人员信息,农场数量,农场信息,生态名称
24,62,sea,merchant,0,None,0,,
25,66,sea,animal,0,None,0,,皮皮虾
28,67,sea,merchant,0,None,0,,
20,54,sea,animal,0,None,0,,龙虾
22,53,sea,plant,0,None,0,,海带
23,53,sea,plant,0,None,0,,水葱
25,52,sea,animal,0,None,0,,三文鱼
23,46,sea,plant,0,None,0,,荷花
22,50,sea,plant,0,None,0,,水稻
24,49,sea,plant,0,None,0,,荷花
25,46,sea,merchant,0,None,0,,
26,47,sea,plant,0,None,0,,海带
27,44,sea,plant,0,None,0,,芦苇
25,40,sea,plant,0,None,0,,海带
24,42,sea,animal,0,None,0,,鸭子
29,36,sea,plant,0,None,0,,水葱
32,35,sea,merchant,0,None,0,,
34,37,sea,plant,0,None,0,,水稻
36,35,sea,animal,0,None,0,,青蛙
35,31,sea,animal,0,None,0,,青蛙
41,30,sea,plant,0,None,0,,水稻
38,32,sea,plant,0,None,0,,水葱
41,26,sea,merchant,0,None,0,,
46,24,sea,plant,0,None,0,,水稻
50,26,sea,plant,0,None,0,,水葱
51,23,sea,plant,0,None,0,,海带
51,20,sea,plant,0,None,0,,芦苇
53,18,sea,plant,0,None,0,,荷花
53,24,sea,animal,0,None,0,,三文鱼
58,15,sea,animal,0,None,0,,龙虾
60,16,sea,merchant,0,None,0,,
61,17,sea,animal,0,None,0,,青蛙
64,12,sea,animal,0,None,0,,三文鱼
62,15,sea,plant,0,None,0,,芦苇
63,15,sea,plant,0,None,0,,水稻
70,8,sea,animal,0,None,0,,三文鱼
70,10,sea,plant,0,None,0,,荷花
74,5,sea,plant,0,None,0,,海带
74,9,sea,plant,0,None,0,,海带
79,2,sea,plant,0,None,0,,荷花
81,4,sea,merchant,0,None,0,,
84,3,sea,merchant,0,None,0,,
82,1,sea,merchant,0,None,0,,
27,11,land,house,4,"[{'age': 60, 'gender': 'female'}, {'age': 48, 'gender': 'male'}, {'age': 43, 'gender': 'female'}, {'age': 13, 'gender': 'male'}]",1,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [27, 11], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""松鼠"", ""biomeType"": ""animal""}}]",
27,11,land,house,4,"[{'age': 60, 'gender': 'female'}, {'age': 48, 'gender': 'male'}, {'age': 43, 'gender': 'female'}, {'age': 13, 'gender': 'male'}]",1,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [27, 11], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""松鼠"", ""biomeType"": ""animal""}}]",
36,10,land,house,2,"[{'age': 8, 'gender': 'female'}, {'age': 62, 'gender': 'female'}]",1,"[{""featureType"": ""livestock"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [36, 10], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""松鼠"", ""biomeType"": ""animal""}}]",
36,10,land,house,2,"[{'age': 8, 'gender': 'female'}, {'age': 62, 'gender': 'female'}]",1,"[{""featureType"": ""livestock"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [36, 10], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""松鼠"", ""biomeType"": ""animal""}}]",
24,5,land,house,3,"[{'age': 7, 'gender': 'male'}, {'age': 72, 'gender': 'male'}, {'age': 30, 'gender': 'female'}]",2,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [24, 5], ""envi"": ""land"", ""house"": null, ""plant"": ""小麦"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""livestock"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 4, ""farmBiome"": {""position"": [24, 5], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""鸡"", ""biomeType"": ""animal""}}]",
24,5,land,house,3,"[{'age': 7, 'gender': 'male'}, {'age': 72, 'gender': 'male'}, {'age': 30, 'gender': 'female'}]",2,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 6, ""farmBiome"": {""position"": [24, 5], ""envi"": ""land"", ""house"": null, ""plant"": ""小麦"", ""animal"": null, ""biomeType"": ""plant""}}, {""featureType"": ""livestock"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 4, ""farmBiome"": {""position"": [24, 5], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""鸡"", ""biomeType"": ""animal""}}]",
33,5,land,house,1,"[{'age': 6, 'gender': 'male'}]",2,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [33, 5], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""松鼠"", ""biomeType"": ""animal""}}, {""featureType"": ""seaFarm"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [33, 5], ""envi"": ""land"", ""house"": null, ""plant"": ""灌木"", ""animal"": null, ""biomeType"": ""plant""}}]",
33,5,land,house,1,"[{'age': 6, 'gender': 'male'}]",2,"[{""featureType"": ""pond"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 5, ""farmBiome"": {""position"": [33, 5], ""envi"": ""land"", ""house"": null, ""plant"": null, ""animal"": ""松鼠"", ""biomeType"": ""animal""}}, {""featureType"": ""seaFarm"", ""position"": [2, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [33, 5], ""envi"": ""land"", ""house"": null, ""plant"": ""灌木"", ""animal"": null, ""biomeType"": ""plant""}}]",
37,5,land,house,2,"[{'age': 53, 'gender': 'female'}, {'age': 29, 'gender': 'male'}]",1,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [37, 5], ""envi"": ""land"", ""house"": null, ""plant"": ""玉米"", ""animal"": null, ""biomeType"": ""plant""}}]",
37,5,land,house,2,"[{'age': 53, 'gender': 'female'}, {'age': 29, 'gender': 'male'}]",1,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [37, 5], ""envi"": ""land"", ""house"": null, ""plant"": ""玉米"", ""animal"": null, ""biomeType"": ""plant""}}]",
27,0,land,house,4,"[{'age': 10, 'gender': 'female'}, {'age': 74, 'gender': 'male'}, {'age': 23, 'gender': 'male'}, {'age': 19, 'gender': 'male'}]",1,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [27, 0], ""envi"": ""land"", ""house"": null, ""plant"": ""玫瑰"", ""animal"": null, ""biomeType"": ""plant""}}]",
27,0,land,house,4,"[{'age': 10, 'gender': 'female'}, {'age': 74, 'gender': 'male'}, {'age': 23, 'gender': 'male'}, {'age': 19, 'gender': 'male'}]",1,"[{""featureType"": ""landFarm"", ""position"": [0, 2], ""size"": [2, 2], ""count"": 7, ""farmBiome"": {""position"": [27, 0], ""envi"": ""land"", ""house"": null, ""plant"": ""玫瑰"", ""animal"": null, ""biomeType"": ""plant""}}]",
